LibraryItem_ID,Family,Group,Name,RequiredFor
11071,(d) Other ST Items,Swallowing,Functional Oral Intake Scale (FOIS),
11080,(c) Other PT/OT Items,Fall Risk,Timed Up and Go (TUG),
919,(d) Other ST Items,Cognition,Attention,
961,(d) Other ST Items,Cognition,Verbal Sequencing,
5526,(c) Other PT/OT Items,Pain,Pain at Rest,
8481,(c) Other PT/OT Items,Functional Abilities,FA_UBdressing,
10175,(c) Other PT/OT Items,Functional Abilities,Clinic_FA_UBdressing,
10195,(d) Other ST Items,Cognition,Problem Solving,
10223,(c) Other PT/OT Items,Functional Abilities,FA_LBbathing,
10234,(c) Other PT/OT Items,Functional Abilities,FA_UBbathing,
11000,(c) Other PT/OT Items,Functional Abilities,Bal_FR_Sit_Forw,
11006,(c) Other PT/OT Items,Functional Abilities,Bal_FR_Stand_Forw,
11007,(c) Other PT/OT Items,Functional Abilities,Bal_FR_Stand_Forw_OT,
11031,(d) Other ST Items,Cognition,Problem Solving,
11062,(d) Other ST Items,Communication,Motor Speech,
11063,(d) Other ST Items,Communication,Voice,
11081,(d) Other ST Items,Communication,Time Tolerated,
